pairing_id,leg,num_rounds,agent_name,opponent_name,points_scored,opponent_points,first_move_cooperate,total_cooperations,total_defections,cooperate_after_opponent_cooperate,defect_after_opponent_cooperate,cooperate_after_opponent_defect,defect_after_opponent_defect
0,first_leg,50,copycat_agent,random_agent,111,116,True,26,24,25,0,0,24
0,first_leg,50,random_agent,copycat_agent,116,111,True,25,25,9,16,15,9
0,second_leg,50,random_agent,copycat_agent,112,112,True,24,26,11,12,12,14
0,second_leg,50,copycat_agent,random_agent,112,112,True,24,26,23,0,0,26
1,first_leg,50,copycat_agent,second_chance_agent,150,150,True,50,0,49,0,0,0
1,first_leg,50,second_chance_agent,copycat_agent,150,150,True,50,0,49,0,0,0
1,second_leg,50,second_chance_agent,copycat_agent,150,150,True,50,0,49,0,0,0
1,second_leg,50,copycat_agent,second_chance_agent,150,150,True,50,0,49,0,0,0
2,first_leg,50,random_agent,copycat_agent,112,107,False,23,27,11,13,12,13
2,first_leg,50,copycat_agent,random_agent,107,112,True,24,26,23,0,0,26
2,second_leg,50,copycat_agent,random_agent,119,119,True,28,22,27,0,0,22
2,second_leg,50,random_agent,copycat_agent,119,119,True,28,22,12,16,15,6
3,first_leg,50,random_agent,second_chance_agent,161,91,False,23,27,16,20,7,6
3,first_leg,50,second_chance_agent,random_agent,91,161,True,37,13,23,0,13,13
3,second_leg,50,second_chance_agent,random_agent,82,157,True,36,14,21,0,14,14
3,second_leg,50,random_agent,second_chance_agent,157,82,False,21,29,13,22,8,6
4,first_leg,50,second_chance_agent,copycat_agent,150,150,True,50,0,49,0,0,0
4,first_leg,50,copycat_agent,second_chance_agent,150,150,True,50,0,49,0,0,0
4,second_leg,50,copycat_agent,second_chance_agent,150,150,True,50,0,49,0,0,0
4,second_leg,50,second_chance_agent,copycat_agent,150,150,True,50,0,49,0,0,0
5,first_leg,50,second_chance_agent,random_agent,89,159,True,37,13,23,0,13,13
5,first_leg,50,random_agent,second_chance_agent,159,89,False,23,27,19,17,4,9
5,second_leg,50,random_agent,second_chance_agent,155,105,True,30,20,21,18,8,2
5,second_leg,50,second_chance_agent,random_agent,105,155,True,40,10,29,0,10,10
